source_id,provider,primary_or_reference,dataset_or_api_name,official_url,data_class,spatial_coverage,spatial_resolution_or_station_rule,time_resolution,timezone,update_frequency,authentication_required,license_or_terms,license_evidence_url,allowed_map_use,allowed_cache_policy,required_attribution,known_limitations,decision
src-goocean-portal,國家海洋研究院 (NAMR),reference,GoOcean 海洋遊憩風險資訊平台,https://goocean.namr.gov.tw/,site_registry,全臺沿岸及離島,地圖圖台（非原始資料產品）,不適用（展示圖台）,Asia/Taipei (UTC+8),不適用,false,服務條款（非商業有限再利用；第三方權利另行保留）,https://goocean.namr.gov.tw/ServiceTerms,reference_only,no_cache,標示「國家海洋研究院 GoOcean 平台」並保留來源連結；第三方素材不得轉發,圖台整合多個第三方機關資料；私有未公開 API 端點不穩定；風險燈號計算黑箱；不可依賴私有端點或複製未授權圖示,reference_only
src-goocean-dive-layer,國家海洋研究院 (NAMR),reference,GoOcean 潛點圖層（介面參考）,https://goocean.namr.gov.tw/,site_registry,全臺沿岸及離島,未公開（無圖層字典或要素版本）,不適用,Asia/Taipei (UTC+8),不適用,false,服務條款（第三方權利混雜；潛點資料來源未公開）,https://goocean.namr.gov.tw/ServiceTerms,reference_only,no_cache,不得再發布；僅人工線索查核,潛點圖層無公開資料字典、來源機關、座標精度或正式匯出方式；不得爬取或呼叫私有端點,reference_only
src-cwa-obs-buoy,交通部中央氣象署 (CWA),primary,CWA 海象即時觀測資料浮標 O-B0076-001,https://opendata.cwa.gov.tw/dataset/all/O-B0076-001,live_observation,臺灣周邊海域（~20 站含澎湖/綠島/蘭嶼/東沙浮標）,點位站觀測（Nearest-station Haversine；需標示距離與站名）,每小時,Asia/Taipei (UTC+8),每小時,true,政府資料開放授權條款第 1 版 (OGL 1.0),https://data.gov.tw/dataset/all/O-B0076-001,live_overlay,ttl_1h,標示「交通部中央氣象署、資料集名稱及 OGL 1.0」,浮標站為點位觀測非現地量測；需顯示測站名稱+直線距離+觀測時間+地形遮蔽不確定性警語；不得表述為潛點現地海況,approved_candidate
src-cwa-obs-tide,交通部中央氣象署 (CWA),primary,CWA 即時潮位觀測 O-B0070-001,https://opendata.cwa.gov.tw/dataset/observation/O-B0070-001,live_observation,臺灣周邊沿岸潮位站（~45 站含七美/吉貝/小琉球/蘭嶼/後壁湖/成功等）,點位站觀測（Nearest-station Haversine；需標示距離與站名）,每小時,Asia/Taipei (UTC+8),每小時,true,政府資料開放授權條款第 1 版 (OGL 1.0),https://data.gov.tw/dataset/observation/O-B0070-001,live_overlay,ttl_1h,標示「交通部中央氣象署、資料集名稱及 OGL 1.0」,潮位站為沿岸點位；離潛點可能有公里級距離差；不得作為安全判定,approved_candidate
src-cwa-obs-wave,交通部中央氣象署 (CWA),primary,CWA 沿岸波浪觀測 O-B0075-001,https://opendata.cwa.gov.tw/dataset/observation/O-B0075-001,live_observation,臺灣沿岸固定波浪站（浮球式波浪站）,點位站觀測（Nearest-station Haversine）,每小時,Asia/Taipei (UTC+8),每小時,true,政府資料開放授權條款第 1 版 (OGL 1.0),https://data.gov.tw/dataset/observation/O-B0075-001,live_overlay,ttl_1h,標示「交通部中央氣象署、資料集名稱及 OGL 1.0」,波浪站數量少（< 10 站）；離島潛點覆蓋不足；不得表述為現地觀測,approved_candidate
src-cwa-forecast-marine,交通部中央氣象署 (CWA),primary,CWA 休閒海域波流模式預報 M-B0078-001,https://opendata.cwa.gov.tw/dataset/observation/M-B0078-001,forecast,臺灣周邊海域（含離島海域格點）,數值格點（格點間距未公開；已知測試點距最近格點 1.8–2.7 km）,每 6 小時,Asia/Taipei (UTC+8),每 6 小時,true,政府資料開放授權條款第 1 版 (OGL 1.0),https://data.gov.tw/dataset/126373,forecast_drawer,ttl_6h,標示「交通部中央氣象署、M-B0078-001、OGL 1.0」,格點模式非現地量測；最近格點距潛點可能 > 1.8 km；需標示格點距離與預報不確定性；不得表述為潛點現地海況,approved_candidate
src-cwa-forecast-coastal,交通部中央氣象署 (CWA),primary,CWA 沿海鄉鎮預報 F-D0047-095（含離島代表區）,https://opendata.cwa.gov.tw/dataset/forecast/F-D0047-095,forecast,臺灣本島與離島沿海 120 個代表區,行政區/沿海代表區（需確認綠島/澎湖對應代碼）,每 3 小時（至 72 小時）,Asia/Taipei (UTC+8),每 6 小時,true,待確認（公開 API 頁面未明示 OGL）,https://opendata.cwa.gov.tw/dataset/forecast/F-D0047-095,forecast_drawer,no_cache,待授權確認後標示,需確認正式位置清單與公開再利用條款；現階段暫緩,pending_rights_review
src-cwa-forecast-county,交通部中央氣象署 (CWA),primary,CWA 鄉鎮一般天氣預報 F-D0047-037/045（臺東/澎湖縣）,https://data.gov.tw/dataset/9281,forecast,臺東縣（含綠島鄉）及澎湖縣（含白沙鄉等）,行政區鄉鎮對應（LocationName 完全匹配）,每 3 小時（至 3 天）,Asia/Taipei (UTC+8),每 6 小時,true,政府資料開放授權條款第 1 版 (OGL 1.0),https://data.gov.tw/dataset/9281,forecast_drawer,ttl_6h,標示「交通部中央氣象署、資料集名稱及 OGL 1.0、IssueTime、有效時間」,一般天氣預報（氣溫/降水/風速）非海況；顯示名稱必須為「XX 鄉一般天氣預報」不可稱潛點海況；資料年齡超過 8 小時應顯示過舊警告,approved_candidate
src-cwa-forecast-ocean,交通部中央氣象署 (CWA),primary,CWA 海域天氣預報 F-A0012-001,https://opendata.cwa.gov.tw/dataset/forecast/F-A0012-001,forecast,具名海域（臺灣東部/西部/北部/南部/巴士海峽等）,海域區域（無具體邊界座標）,每 12 小時（至 48 小時）,Asia/Taipei (UTC+8),每 6 小時,true,待確認,https://opendata.cwa.gov.tw/dataset/forecast/F-A0012-001,forecast_drawer,no_cache,待授權確認後標示,需確認正式海域邊界座標與公開再利用條款；現階段暫緩,pending_rights_review
src-namr-nodass,國家海洋研究院 (NAMR),primary,NAMR NODASS 國家海洋資料庫（開放測站資料）,https://www.namr.gov.tw/,live_observation,臺灣周邊海域（含墾丁南灣、花蓮等 NAMR 浮標站）,點位站觀測（需確認測站名冊與座標）,不定（依測站類型）,Asia/Taipei (UTC+8),不定,true,待確認（NAMR 開放資料條款）,https://www.namr.gov.tw/,live_overlay,no_cache,待授權確認後標示,NAMR NODASS 正式開放 API 端點與授權條款需向 NAMR 查詢確認；現階段暫緩,pending_rights_review
src-tourism-attraction,交通部觀光署,primary,景點－觀光資訊資料庫（含浮潛/潛水景點）,https://data.gov.tw/dataset/7777,site_registry,全臺（含離島）,點位（WGS84；需逐筆確認為潛水/浮潛地點）,每日更新（靜態）,Asia/Taipei (UTC+8),每日,false,政府資料開放授權條款第 1 版 (OGL 1.0),https://data.gov.tw/dataset/7777,vector_marker,ttl_24h,標示「交通部觀光署、景點－觀光資訊資料庫（觀光資料標準 V2.1）」,僅明確記載為潛水/浮潛地點者可列入；一般景點/釣點/調查站不得自動升格為潛點；媒體另有著作權,approved_candidate
src-ocean-recreation-platform,行政院農業委員會漁業署/海洋委員會,primary,海域遊憩活動一站式服務平台,https://ocean.gov.tw/,site_registry,全臺沿岸海域,行政區或海域區域（非精確座標）,不定（靜態資訊為主）,Asia/Taipei (UTC+8),不定,false,政府網站（待確認再發布條款）,https://ocean.gov.tw/,reference_only,no_cache,標示主管機關與資料來源,服務範圍/規定文字為管理背景資訊；不等於潛點名冊；需逐條確認再發布授權,pending_rights_review
src-taibif-occurrence,農業部生物多樣性研究所/TaiBIF,primary,TaiBIF 全球生物多樣性資料庫（臺灣生物調查資料）,https://www.taibif.tw/,species_occurrence,全臺（含海域）；本機已有 414 MB JSON,點位（decimalLatitude/decimalLongitude；精度依調查方法）,歷史調查（靜態）,UTC（eventDate 欄位）,歷史一次性（版本更新）,false,CC BY 4.0（預設；各資料集需個別確認）,https://www.taibif.tw/zh/page/termsofuse,species_list,immutable_local,標示「TaiBIF、資料集來源機關、採樣日期及方法」,歷史物種出現紀錄不等於目前現地可見；坐標精度依調查計畫；不輸出精確敏感物種位置（瀕危物種座標需模糊化）,approved_candidate
src-taicol-taxonomy,農業部生物多樣性研究所/TaiCOL,primary,TaiCOL 臺灣物種名錄,https://taicol.tw/,species_occurrence,全臺（分類名錄）,無空間座標（分類學）,歷史靜態（版本化）,不適用,每季更新,false,CC BY 4.0,https://taicol.tw/about,species_list,immutable_local,標示「TaiCOL 臺灣物種名錄及版本日期」,分類名錄不含出現紀錄座標；僅可作為物種鑑定與中英文名稱標準化依據,approved_candidate
src-local-cwa-hydro,交通部中央氣象署 (CWA),primary,本機 CWA 歷史海氣象水文觀測（qc＋realtime CSV）,https://opendata.cwa.gov.tw/,historical_ecology,臺灣周邊沿岸（~45 站含七美/吉貝/小琉球/蘭嶼/後壁湖/成功/龍洞等）,點位站（LonLat.csv WGS84 座標）,年度 CSV（2023/2024/2025）每列一筆觀測,Asia/Taipei (UTC+8)（推定）,歷史靜態（已下載）,false,政府資料開放授權條款第 1 版 (OGL 1.0)（推定）,https://opendata.cwa.gov.tw/,live_overlay,immutable_local,標示「交通部中央氣象署、資料集 ID、OGL 1.0」,本機歷史資料不是即時資料；qc（品管）版與 realtime（即時）版資料品質不同；欄位含 StationID/time/Wind_Speed/Sea_Temperature/Wave_Height_Significant/Tide_Height/CenterLongitude/CenterLatitude,approved_candidate
src-local-ihmt-hydro,港灣技術研究中心 (IHMT),primary,本機 IHMT 港研所歷史海氣象觀測 CSV,https://www.ihmt.gov.tw/,historical_ecology,臺灣主要港灣（馬公港/基隆港等；LonLat.csv 有座標）,點位站（qc 子目錄；LonLat.csv WGS84 座標）,年度 CSV（qc 版）,Asia/Taipei (UTC+8)（推定）,歷史靜態（已下載）,false,待確認（IHMT 資料授權條款）,https://www.ihmt.gov.tw/,environmental_data_candidate,no_cache,待確認後標示主管機關,港灣觀測距外海潛點可能有公里級距離差；港灣地形效應影響代表性；授權待確認,pending_rights_review
src-local-namr-hydro,國家海洋研究院 (NAMR),primary,本機 NAMR 浮標站歷史觀測 CSV,https://www.namr.gov.tw/,historical_ecology,臺灣外海及離島（含墾丁南灣/花蓮等 NAMR 站；LonLat.csv 有座標）,點位站（qc＋realtime 子目錄；LonLat.csv WGS84 座標）,年度 CSV（2023/2024/2025）,Asia/Taipei (UTC+8)（推定）,歷史靜態（已下載）,false,待確認（NAMR 開放資料條款）,https://www.namr.gov.tw/,environmental_data_candidate,no_cache,待確認後標示主管機關,NAMR 正式授權條款需確認；浮標觀測代表性受地形影響,pending_rights_review
src-local-wra-hydro,水利署 (WRA),primary,本機 WRA 水利署潮位資料 CSV,https://www.wra.gov.tw/,historical_ecology,臺灣沿岸（WRA 潮位站；LonLat.csv 有座標）,點位站（LonLat.csv WGS84 座標）,年度 CSV,Asia/Taipei (UTC+8)（推定）,歷史靜態（已下載）,false,待確認（WRA 資料授權條款）,https://www.wra.gov.tw/,environmental_data_candidate,no_cache,待確認後標示主管機關,WRA 授權條款需確認；主要為河口潮位站,pending_rights_review
src-local-oca-wq,海洋委員會海洋保育署 (OCA),primary,本機 OCA 海保署海域水質監測資料 CSV,https://data.gov.tw/,historical_ecology,臺灣沿岸（OCA 水質監測站；LonLat.csv 有座標）,點位站（LonLat.csv WGS84 座標）,2023-2025 CSV；欄位含 Air_Temperature/Salinity/Water_Temperature/pH_Value/Dissolved_Oxygen/Chlorophyll_a 等,Asia/Taipei (UTC+8)（推定）,歷史靜態（已下載）,false,政府資料開放授權條款第 1 版 (OGL 1.0)（推定）,https://data.gov.tw/,environmental_data_candidate,immutable_local,待確認後標示「海洋委員會海洋保育署、OGL 1.0」,水質資料非即時海況；需確認實際採集時間與授權版本,pending_rights_review
src-local-edna,海洋委員會海洋保育署 (OCA),primary,本機 eDNA 全海域基礎生態調查（12S/16S/18S）JSON,https://data.gov.tw/en/datasets/172487,historical_ecology,臺灣周邊海域（多個採樣站點；Longitude/Latitude 欄位）,點位站（StationId/Longitude/Latitude；6 個 JSON 涵蓋 109-112 年四季）,歷史調查（季別）109-112 年,不適用（非時間序列）,歷史一次性,false,政府資料開放授權條款第 1 版 (OGL 1.0)（推定）,https://data.gov.tw/en/datasets/172487,species_list,immutable_local,標示「海洋委員會海洋保育署、OGL 1.0」,eDNA 歷史採樣不等於目前現地可見物種；基因標記（12S/16S/18S）對應物種有解析度限制；採樣年份涵蓋 2020-2023,approved_candidate
src-local-eco-survey,國立海洋生物博物館 (NMMBA),primary,本機全海域基礎生態調查（海生中心示範海域）XLSX,https://www.namr.gov.tw/,historical_ecology,北部/南部/澎湖海域（三個分區 Excel 共 1.19 MB）,調查站點（Excel 欄位含分類群與站位資訊；CRS 未確認）,歷史調查（110 年 11 月）,不適用（靜態）,歷史一次性,false,待確認（NMMBA/全國海洋資料庫授權）,https://www.namr.gov.tw/,historical_ecology,no_cache,待確認後標示主管機關,需確認 Excel 欄位結構、分類群與座標欄名稱；授權需向 NMMBA/NAMR 確認；xlsx 未安裝解析套件時記錄未能驗證,pending_rights_review
src-local-beach-gis,海洋委員會海洋保育署 (OCA)/環境部,primary,本機全國海灘環境調查 Shapefile/GeoJSON/KML（39 個檔案）,https://www.oca.gov.tw/,historical_ecology,全臺海岸（突堤/防護工/釣點/安檢所/高潮線/植生/沙灘/看板/礁岩圖層）,多邊形/線段/點位（EPSG:4326 WGS84 已確認）,歷史靜態（調查年份未知）,不適用,歷史一次性,false,待確認（海調資料來源授權）,https://www.oca.gov.tw/,vector_marker,no_cache,待確認後標示主管機關,礁岩/沙灘/高潮線為環境幾何；不可自動升格為潛點；安檢所/海巡隊位置屬行政點位非潛點；授權待確認,pending_rights_review
src-local-reef-locations,UNEP-WCMC（推定；授權待確認）,reference,92_全球珊瑚礁位置 CSV+Shapefile（ReefLocations.csv）,https://www.unep-wcmc.org/,historical_ecology,全球（需篩選臺灣範圍）；EPSG:4326 已確認,點位（ID/REGION/COUNTRY/LOCATION/LAT/LON/REEF_SYSTEM/REEF_TYPE/REEF_NAME 欄位）,歷史靜態（來源年份未知）,不適用,歷史一次性,false,待確認（UNEP-WCMC 授權條款）,https://www.unep-wcmc.org/,reference_only,no_cache,待確認後標示主管機關,全球資料不可因與海洋相關就列為臺灣浮潛知識；授權未確認；需篩選臺灣範圍後再評估；礁位點不等於休閒潛點,pending_rights_review
src-local-dscrtp,NOAA DSCRTP,reference,全球深海珊瑚與海綿位置 DSCRTP CSV（2.56 GB）,https://deepseacoraldata.noaa.gov/,historical_ecology,全球深海（超出休閒潛水範圍；主要 > 30 m）,點位（ShallowFlag/decimalLatitude/decimalLongitude）,歷史靜態（版本 20260416）,UTC,歷史一次性,false,待確認（NOAA 資料授權）,https://deepseacoraldata.noaa.gov/,reference_only,no_cache,標示「NOAA DSCRTP」,深海（> 30 m）超出休閒潛水範圍；2.56 GB 大型資料；全球範圍不可直接用於臺灣潛點；授權待確認,excluded
src-local-fishing-kml,海洋委員會/漁業署,primary,本機全台開放釣點位置 KML（38 KB）,https://www.oca.gov.tw/,site_registry,全臺沿岸（KML 點位）,點位（WGS84 KML；欄位待確認）,歷史靜態（調查年份未知）,不適用,歷史一次性,false,待確認,https://www.oca.gov.tw/,reference_only,no_cache,待確認後標示主管機關,釣點不等於潛點；不可自動升格為潛點；需人工逐筆確認,pending_rights_review
src-local-strand,海洋委員會海洋保育署 (OCA),primary,本機海洋生物擱淺紀錄 JSON（海龜 944 筆 + 鯨豚 430 筆）,https://www.oca.gov.tw/,historical_ecology,全臺沿岸（CenterLatitude/CenterLongitude；EarliestDate/LatestDate）,點位（含 BoundingBox；Title/GeoProductID 欄位）,歷史靜態（各事件日期）,不適用,歷史一次性,false,待確認（OCA 授權）,https://www.oca.gov.tw/,reference_only,no_cache,待確認後標示主管機關,敏感物種（海龜/鯨豚）擱淺位置不得精確輸出（須模糊化到縣市級別）；擱淺事件非潛點資訊；授權待確認,pending_rights_review
src-local-eco-monitoring,海洋委員會海洋保育署 (OCA),primary,本機海域生態監測站點 JSON + JPG/MP4 影像（87 個檔案）,https://www.oca.gov.tw/,image_link_only,全臺（含恆春/花蓮/臺東/澎湖等監測站；CenterLatitude/CenterLongitude 欄位）,點位（54 筆 JSON；JPG/MP4 影像）,歷史靜態（調查年份未知）,不適用,歷史一次性,false,待確認（OCA 著作權）,https://www.oca.gov.tw/,image_link_only,no_cache,待確認後標示主管機關,JPG/MP4 影像著作權未確認；嚴禁自動抓取或內嵌；JSON 點位可用但監測站不等於潛點,image_link_only
src-local-fish-db,中央研究院生物多樣性研究中心,primary,本機臺灣魚類資料庫 CSV（1.12 MB）,https://fishdb.sinica.edu.tw/,species_occurrence,臺灣（分類與分布）,無座標（分類學）,歷史靜態（2020 年後修改）,不適用,歷史一次性,false,待確認（中研院 TaiCoL/TaiBIF 條款）,https://fishdb.sinica.edu.tw/,species_list,immutable_local,標示「中央研究院生物多樣性研究中心臺灣魚類資料庫」,魚類分類名錄不含出現座標；僅作物種名稱標準化依據；不表述為現地可見,approved_candidate
