data_group,representative_paths,file_count,detected_format,schema_or_fields,row_count_estimate,coordinate_fields_present,crs_status,time_fields,time_coverage,source_provenance_status,license_status,map_use_candidate,decision,known_limitations,follow_up_required
歷史品管與即時海氣象水文觀測資料（CWA）,歷史品管、即時海氣象水文觀測資料/CWA/（46 個測站，各含 LonLat.csv + qc/ + realtime/ 子目錄）,291,CSV,"測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},潮高,中心經度,中心緯度",~291 個 CSV 檔（46 站 × qc/realtime × 2023/2024/2025）,"yes (LonLat.csv: CenterLongitude, CenterLatitude; 每列含 CenterLongitude/CenterLatitude)",WGS84 (EPSG:4326) — LonLat.csv 欄位名稱確認,time 欄位（格式待確認是否帶時區）,2023–2025（qc 版：品管後；realtime 版：即時）,交通部中央氣象署 (CWA)；本機下載存檔,推定 OGL 1.0（需確認下載版本條款）,environmental_data_candidate — 歷史海象統計背景；不可用作即時顯示,environmental_data_candidate,本機歷史 CSV 非即時資料；qc 版資料品質優於 realtime；time 欄位時區需確認；不得標示為潛點即時海況；需顯示測站名稱、LonLat 距離及資料時間。,確認 OGL 條款適用版本；確認 time 欄位時區格式
歷史品管與即時海氣象水文觀測資料（IHMT）,歷史品管、即時海氣象水文觀測資料/IHMT/（37 個測站，各含 LonLat.csv + qc/ 子目錄）,206,CSV,"LonLat.csv: CenterLongitude,CenterLatitude",~206 個 CSV 檔（37 個港灣測站）,"yes (LonLat.csv: CenterLongitude, CenterLatitude)",WGS84 (EPSG:4326) — LonLat.csv 欄位名稱確認,time 欄位（格式待確認）,歷史觀測（年份需查各站 CSV 確認）,港灣技術研究中心 (IHMT)；本機下載存檔,待確認（IHMT 資料授權條款）,pending_provenance_or_rights — 授權確認後可作環境背景,pending_provenance_or_rights,港灣觀測受港灣地形遮蔽影響；距外海潛點可能有公里級距離差；IHMT 正式開放授權條款未確認；不得表述為外海潛點現地海況。,向 IHMT 確認開放資料授權條款；確認各站 CSV 欄位與時間格式
歷史品管與即時海氣象水文觀測資料（NAMR）,歷史品管、即時海氣象水文觀測資料/NAMR/（34 個測站，各含 LonLat.csv + qc/ + realtime/ 子目錄）,79,CSV,"LonLat.csv: CenterLongitude, CenterLatitude（同 CWA 結構）",~79 個 CSV 檔（34 站）,"yes (LonLat.csv: CenterLongitude, CenterLatitude)",WGS84 (EPSG:4326) — LonLat.csv 欄位名稱確認,time 欄位（格式待確認）,2023–2025（qc + realtime）,國家海洋研究院 (NAMR)；本機下載存檔,待確認（NAMR NODASS 開放資料條款）,pending_provenance_or_rights — 含墾丁南灣等重要潛點周邊站,pending_provenance_or_rights,NAMR 正式 API 授權條款需確認；浮標觀測代表性受地形影響；不得未經授權確認就公開部署。,向 NAMR 確認 NODASS 開放資料條款與站點名冊
歷史品管與即時海氣象水文觀測資料（WRA）,歷史品管、即時海氣象水文觀測資料/WRA/（21 個測站）,118,CSV,"LonLat.csv: CenterLongitude, CenterLatitude（推定與 CWA 結構相同）",~118 個 CSV 檔（21 站）,"yes (LonLat.csv: CenterLongitude, CenterLatitude)",WGS84 (EPSG:4326) — LonLat.csv 欄位名稱確認（推定）,time 欄位（格式待確認）,歷史觀測（年份需查各站 CSV 確認）,水利署 (WRA)；本機下載存檔,待確認（WRA 資料授權條款）,pending_provenance_or_rights — 以河口/沿岸潮位站為主,pending_provenance_or_rights,主要為河口潮位站；非開放海域；授權待確認,確認 WRA 資料開放授權條款；確認各站欄位格式
歷史品管與即時海氣象水文觀測資料（海保署）,歷史品管、即時海氣象水文觀測資料/海保署/（154 個測站，各含 LonLat.csv + 2023_2025.csv）,308,CSV,"StationID, time, Air_Temperature, Salinity, Water_Temperature, pH_Value, Suspended_Solid, Dissolved_Oxygen, Dissolved_Oxygen_Saturation, Chlorophyll_a, Ammonia_Nitrogen, Nitrate_Nitrogen, Orthophosphate, Nitrite_Nitrogen, Silicate, Cadmium, Chromium, Copper, Zinc, Lead, Mercury",~308 個 CSV 檔（154 站 × 2023-2025）,"yes (LonLat.csv: CenterLongitude, CenterLatitude)",WGS84 (EPSG:4326) — LonLat.csv 欄位名稱確認,time 欄位,2023–2025,海洋委員會海洋保育署 (OCA)；本機下載存檔,推定 OGL 1.0（需確認下載版本條款）,environmental_data_candidate — 水質背景（水溫/鹽度/溶氧等）,environmental_data_candidate,水質資料非即時海況（不含波浪/潮流）；化學指標（重金屬/營養鹽）不作潛點評分依據；time 欄位時區需確認；授權需確認版本。,確認 OGL 版本適用範圍；確認 time 欄位時區
全海域基礎生態調查環境DNA,"全海域基礎生態調查環境DNA/（109年冬季_12S.json, 109年秋季_12S.json, 110年夏季_12S.json, 110年春季_12S.json, 112年春季_16S.json, 112年春季_18S.json）",6,JSON,"頂層 dict: 站點(list), 資料(dict), 資料-NAMR(dict)；站點 array 欄位: StationId, LocationName, LocationEnglishName, SiteAddress, Longitude, Latitude, CenterLatitude, CenterLongitude, Title, TitleEng, PlanUrl",站點清單每季 ~102 筆；物種資料欄位依標記基因不同,"yes (Longitude, Latitude, CenterLatitude, CenterLongitude)",WGS84 (EPSG:4326) — 欄位名稱推定（需抽樣確認值域）,採樣季節標記（檔案名稱）：109-112 年冬/秋/夏/春季,2020 年（109年）– 2023 年（112年）；涵蓋 12S/16S/18S 標記基因,海洋委員會海洋保育署 (OCA)；全海域基礎生態調查,推定 OGL 1.0（data.gov.tw 資料集 172487）,historical_ecology_evidence — 歷史 eDNA 採樣站點背景,historical_ecology_evidence,eDNA 歷史採樣不等於目前現地可見物種；基因標記（12S/16S/18S）解析度限制，不同標記偵測物種類群不同；不輸出精確站點座標給終端使用者；物種鑑定結果不得表述為目前可見或保證存在。,確認 OGL 版本；與已匯入 eDNA 比對避免重複；確認物種欄位結構
全海域基礎生態調查（海生中心示範海域）,全海域基礎生態調查/110.11.24_海生中心示範海域生態資料_全國海洋資料庫展示用(北部海域).xlsx （341 KB）、全海域基礎生態調查/110.11.24_海生中心示範海域生態資料_全國海洋資料庫展示用(南部海域).xlsx （487 KB）、全海域基礎生態調查/110.11.24_海生中心示範海域生態資料_全國海洋資料庫展示用(澎湖海域).xlsx （361 KB）,6,XLSX (Excel),欄位未能驗證（無 openpyxl/xlrd；需安裝 Excel 解析套件）,北部/南部/澎湖三個分區；各 Excel 含多個工作表（分類群不明）,待確認（Excel 未解析）,UNKNOWN — xlsx 未解析；需確認座標欄位與基準,調查時間：110 年 11 月（2021 年 11 月）,2021 年 11 月（單一調查）,國立海洋生物博物館 (NMMBA)；全國海洋資料庫展示資料,待確認（NMMBA/全國海洋資料庫授權）,pending_provenance_or_rights — 含北/南/澎湖海域多分類群生態資料,pending_provenance_or_rights,Excel 檔案無法在未安裝 openpyxl/xlrd 的環境下驗證欄位；授權需向 NMMBA/NAMR 確認；2021 年調查資料不等於目前生態現況；分類群（魚類/底棲/珊瑚）需確認各工作表結構。,安裝 openpyxl 後重新讀取 xlsx 欄位；向 NMMBA/NAMR 確認授權；確認各工作表分類群與座標欄位
全國海灘環境調查,"全國海灘環境調查/海灘資料-(人造物類)突堤, 防護工, 全台開放釣點位置, 安檢所及海巡隊, 平均高潮線, 植生類, 沙灘, 海岸資訊看板, 礁岩 等 9 個圖層",39,Shapefile (.shp/.dbf/.prj/.shx) + GeoJSON + KML,各圖層欄位依類型不同；礁岩/沙灘/高潮線為地理幾何；安檢所/海巡隊為點位,39 個檔案（9 個圖層 × Shapefile 組件 + GeoJSON + KML）,yes (geometry 欄位於 Shapefile/GeoJSON),WGS84 (EPSG:4326) — confirmed via .prj,無時間欄位（靜態調查）,調查年份未記錄於目錄中（需查閱各圖層 metadata）,海洋委員會海洋保育署或環境部；全國海灘環境調查,待確認（海調資料來源機關與授權）,pending_provenance_or_rights — 礁岩/沙灘/高潮線可作近岸環境背景,pending_provenance_or_rights,礁岩/沙灘/高潮線為環境幾何，不可自動升格為潛點；安檢所/海巡隊位置屬行政點位非潛點；釣點不等於潛點；授權未確認前不得用於公開地圖。,確認資料來源機關與授權；確認調查年份；確認各圖層欄位
92_全球珊瑚礁位置,92_全球珊瑚礁位置/ReefLocations.csv (16682 筆) + Shapefile,11,CSV + Shapefile,"CSV 欄位: ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,REEF_SYSTEM,REEF_TYPE,REEF_NAME,WATER_DEPTH,ISLAND_NAME,PROTECTED,TOURISM,COUNTRY_CODE",16682 筆（全球）,"yes (LAT, LON)",WGS84 (EPSG:4326) — confirmed via .prj,無時間欄位,靜態（來源年份未知）,疑似 UNEP-WCMC 或類似全球珊瑚礁資料庫；授權未確認,待確認（UNEP-WCMC 授權條款）,pending_provenance_or_rights — 需篩選臺灣範圍後評估,pending_provenance_or_rights,全球範圍資料不可因與海洋相關就列為臺灣浮潛知識；礁位點不等於休閒潛點；授權未確認；不輸出精確座標給終端使用者。,確認 UNEP-WCMC 授權條款；篩選臺灣範圍子集；確認 CRS
TaiBIF 全球生物多樣性資料庫（生物調查資料）,全球生物多樣性資料庫(TaiBIF)生物調查資料.json (414 MB),1,JSON,大型 JSON（414 MB）；欄位結構未能驗證（僅讀取檔案大小）,414.0 MB；記錄數未驗證（避免大型載入）,待確認（decimalLatitude/decimalLongitude 推定）,UNKNOWN — 未讀取內容（檔案過大）,eventDate 推定（DwC 標準）,歷史調查（年份範圍未確認）,農業部生物多樣性研究所 / TaiBIF,CC BY 4.0（預設；各子資料集需個別確認）,historical_ecology_evidence — 臺灣近岸物種出現紀錄背景,historical_ecology_evidence,414 MB 大型 JSON；全記憶體載入有風險；需抽樣確認欄位（DwC 標準欄位推定）；歷史物種出現不等於目前現地可見；不輸出精確敏感物種座標。,抽樣確認頂層結構與欄位；篩選臺灣近岸子集；確認各子資料集 CC 版本
