sample_id,source_seq,source_locator,raw_divesite_name_local,raw_lat,raw_lon,raw_divesite_area_local,raw_divesite_county_or_city,raw_note,crs_evidence,site_type,audit_decision,decision_reason,reviewed_at
ph-table-smp-001,1,"Page 1, Row 1",杉福漁港(ShanFu Fish Harbor),22.339233398438,120.36222076416,小琉球,屏東縣,,unconfirmed_not_documented,harbor_port,excluded,harbor_or_port_facility: 實體為漁港碼頭航道或泊位，存在船隻航行與人員碰撞之致命航安疑慮，非核准潛點。,2026-09-25T01:30:00+08:00
ph-table-smp-002,2,"Page 1, Row 2",龍洞4號(Longdong #4),25.11327553,121.9197311,龍洞,新北市,,unconfirmed_not_documented,marine_dive_site,passed_to_manual_audit,valid_marine_dive_spot_candidate_pending_source_crs_confirmation: 具備天然海洋潛點名稱特徵與坐標，通過初篩進入下一階段人工核驗；但因母體文件缺乏官方CRS定義與發布授權脈絡，全表維持待審，不得直接轉為正式潛點。,2026-09-25T01:30:00+08:00
ph-table-smp-003,5,"Page 1, Row 5",石朗(Shihlang),22.65498,121.4744,綠島,臺東縣,,unconfirmed_not_documented,marine_dive_site,passed_to_manual_audit,valid_marine_dive_spot_candidate_pending_source_crs_confirmation: 具備天然海洋潛點名稱特徵與坐標，通過初篩進入下一階段人工核驗；但因母體文件缺乏官方CRS定義與發布授權脈絡，全表維持待審，不得直接轉為正式潛點。,2026-09-25T01:30:00+08:00
ph-table-smp-004,6,"Page 1, Row 6",核電廠出水口(Nuclear Power Plant Outlet),21.93243027,120.7452927,墾丁,屏東縣,,unconfirmed_not_documented,marine_dive_site,passed_to_manual_audit,valid_marine_dive_spot_candidate_pending_source_crs_confirmation: 具備天然海洋潛點名稱特徵與坐標，通過初篩進入下一階段人工核驗；但因母體文件缺乏官方CRS定義與發布授權脈絡，全表維持待審，不得直接轉為正式潛點。,2026-09-25T01:30:00+08:00
ph-table-smp-005,7,"Page 1, Row 7",後壁湖出水口(Houbihu Outlet),21.9312,120.745,墾丁,屏東縣,,unconfirmed_not_documented,marine_dive_site,passed_to_manual_audit,valid_marine_dive_spot_candidate_pending_source_crs_confirmation: 具備天然海洋潛點名稱特徵與坐標，通過初篩進入下一階段人工核驗；但因母體文件缺乏官方CRS定義與發布授權脈絡，全表維持待審，不得直接轉為正式潛點。,2026-09-25T01:30:00+08:00
ph-table-smp-006,8,"Page 1, Row 8",潮境公園(Chaojing Park),25.1441237,121.8047144,八斗子,基隆市,,unconfirmed_not_documented,marine_dive_site,passed_to_manual_audit,valid_marine_dive_spot_candidate_pending_source_crs_confirmation: 具備天然海洋潛點名稱特徵與坐標，通過初篩進入下一階段人工核驗；但因母體文件缺乏官方CRS定義與發布授權脈絡，全表維持待審，不得直接轉為正式潛點。,2026-09-25T01:30:00+08:00
ph-table-smp-007,9,"Page 1, Row 9",美人洞(Beauty Cove),22.354754,120.374058,小琉球,屏東縣,,unconfirmed_not_documented,marine_dive_site,passed_to_manual_audit,valid_marine_dive_spot_candidate_pending_source_crs_confirmation: 具備天然海洋潛點名稱特徵與坐標，通過初篩進入下一階段人工核驗；但因母體文件缺乏官方CRS定義與發布授權脈絡，全表維持待審，不得直接轉為正式潛點。,2026-09-25T01:30:00+08:00
ph-table-smp-008,10,"Page 1, Row 10",柴口(Chaikou),22.679282,121.481454,綠島,臺東縣,,unconfirmed_not_documented,marine_dive_site,passed_to_manual_audit,valid_marine_dive_spot_candidate_pending_source_crs_confirmation: 具備天然海洋潛點名稱特徵與坐標，通過初篩進入下一階段人工核驗；但因母體文件缺乏官方CRS定義與發布授權脈絡，全表維持待審，不得直接轉為正式潛點。,2026-09-25T01:30:00+08:00
ph-table-smp-009,11,"Page 1, Row 11",合界(Ho Jie),21.955595,120.713156,墾丁,屏東縣,,unconfirmed_not_documented,marine_dive_site,passed_to_manual_audit,valid_marine_dive_spot_candidate_pending_source_crs_confirmation: 具備天然海洋潛點名稱特徵與坐標，通過初篩進入下一階段人工核驗；但因母體文件缺乏官方CRS定義與發布授權脈絡，全表維持待審，不得直接轉為正式潛點。,2026-09-25T01:30:00+08:00
ph-table-smp-010,12,"Page 1, Row 12",潛立方(Divecube Hotel),24.176215,120.620933,台中,台中市,,unconfirmed_not_documented,indoor_pool_facility,excluded,indoor_artificial_swimming_or_diving_facility: 實體為陸域室內深水池、運動中心或游泳池，非天然海域潛點，違反潛點資料契約。,2026-09-25T01:30:00+08:00
ph-table-smp-011,13,"Page 1, Row 13",萬里桐(Wanlitong),21.99520493,120.7061691,墾丁,屏東縣,,unconfirmed_not_documented,marine_dive_site,passed_to_manual_audit,valid_marine_dive_spot_candidate_pending_source_crs_confirmation: 具備天然海洋潛點名稱特徵與坐標，通過初篩進入下一階段人工核驗；但因母體文件缺乏官方CRS定義與發布授權脈絡，全表維持待審，不得直接轉為正式潛點。,2026-09-25T01:30:00+08:00
ph-table-smp-012,28,"Page 2, Row 28",鼻頭角公園(BiTou Cape Park #1),25.12601,121.91532,鼻頭角公園,新北市,,unconfirmed_not_documented,marine_dive_site,passed_to_manual_audit,valid_marine_dive_spot_candidate_pending_source_crs_confirmation: 具備天然海洋潛點名稱特徵與坐標，通過初篩進入下一階段人工核驗；但因母體文件缺乏官方CRS定義與發布授權脈絡，全表維持待審，不得直接轉為正式潛點。,2026-09-25T01:30:00+08:00
