relative_path,parent_dataset,extension,size_bytes,modified_at,detected_format,encoding,schema_or_fields,spatial_fields,detected_crs,time_fields,time_coverage,row_count_estimate,source_or_owner_hint,license_hint,sensitivity_or_risk,proposed_ingestion_route,decision,decision_reason,follow_up_required
全球生物多樣性資料庫(TaiBIF)生物調查資料.json,TaiBIF 全球生物多樣性資料庫（生物調查資料）,.json,434138427,2026-07-29T11:40:31+08:00,JSON,utf-8,type; version; comment,type,,,,large,TaiBIF 臺灣生物多樣性資訊機構,可能為 CC BY 4.0 或 OGL，需確認,中,structured_evidence_candidate,候選,大型生物調查 JSON（~414 MB）。歷史觀測不等於目前可見。需抽樣確認分類群與座標欄位。,確認授權（CC BY / OGL）；抽樣驗證欄位；評估臺灣近岸子集
珊瑚礁浮潛決策支援專題資料盤點與研究規劃.docx,珊瑚礁浮潛決策支援專題資料盤點與研究規劃,.docx,279214,2026-09-17T22:39:04+08:00,DOCX,binary,,,,,,,使用者提供,未確認，使用者提供,中,excluded_or_link_only,排除,內部研究規劃文件，不可作為對使用者問答的事實來源。,無
92_全球珊瑚礁位置\資料說明.txt,92_全球珊瑚礁位置,.txt,270,2023-03-21T15:03:28+08:00,Text,utf-8,,,,,,,可能來自 UNEP-WCMC 或類似全球珊瑚礁資料庫,未確認,中,pending_rights_review,待審核,全球範圍資料。可篩選臺灣範圍作為 structured_evidence_candidate，但需確認來源授權與 CRS。不可因與海洋相關就直接列為臺灣浮潛知識來源。,確認來源授權；確認 CRS 是否為 WGS84；篩選臺灣範圍
92_全球珊瑚礁位置\92_全球珊瑚礁位置\ReefLocations.csv,92_全球珊瑚礁位置,.csv,1216139,2022-04-26T18:09:04+08:00,CSV,utf-8-sig,ID; REGION; SUBREGION; COUNTRY; LOCATION; LAT; LON; REEF_SYSTEM; REEF_TYPE; REEF_NAME; WATER_DEPTH; ISLAND_NAME; PROTECTED; TOURISM; COUNTRY_CODE,COUNTRY; LAT; LON; REEF_SYSTEM; REEF_TYPE; COUNTRY_CODE,,,,16682,可能來自 UNEP-WCMC 或類似全球珊瑚礁資料庫,未確認,中,pending_rights_review,待審核,全球範圍資料。可篩選臺灣範圍作為 structured_evidence_candidate，但需確認來源授權與 CRS。不可因與海洋相關就直接列為臺灣浮潛知識來源。,確認來源授權；確認 CRS 是否為 WGS84；篩選臺灣範圍
92_全球珊瑚礁位置\92_全球珊瑚礁位置\schema.ini,92_全球珊瑚礁位置,.ini,47,2022-04-26T18:09:04+08:00,INI,utf-8,,,,,,,可能來自 UNEP-WCMC 或類似全球珊瑚礁資料庫,未確認,中,pending_rights_review,待審核,全球範圍資料。可篩選臺灣範圍作為 structured_evidence_candidate，但需確認來源授權與 CRS。不可因與海洋相關就直接列為臺灣浮潛知識來源。,確認來源授權；確認 CRS 是否為 WGS84；篩選臺灣範圍
92_全球珊瑚礁位置\92_全球珊瑚礁位置\SHP\全球珊瑚礁位置.cpg,92_全球珊瑚礁位置,.cpg,5,2022-04-26T18:09:04+08:00,Shapefile CPG,utf-8,,,EPSG:4326,,,,可能來自 UNEP-WCMC 或類似全球珊瑚礁資料庫,未確認,中,pending_rights_review,待審核,全球範圍資料。可篩選臺灣範圍作為 structured_evidence_candidate，但需確認來源授權與 CRS。不可因與海洋相關就直接列為臺灣浮潛知識來源。,確認來源授權；確認 CRS 是否為 WGS84；篩選臺灣範圍
92_全球珊瑚礁位置\92_全球珊瑚礁位置\SHP\全球珊瑚礁位置.dbf,92_全球珊瑚礁位置,.dbf,23764034,2022-04-26T18:09:06+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自 UNEP-WCMC 或類似全球珊瑚礁資料庫,未確認,中,pending_rights_review,待審核,全球範圍資料。可篩選臺灣範圍作為 structured_evidence_candidate，但需確認來源授權與 CRS。不可因與海洋相關就直接列為臺灣浮潛知識來源。,確認來源授權；確認 CRS 是否為 WGS84；篩選臺灣範圍
92_全球珊瑚礁位置\92_全球珊瑚礁位置\SHP\全球珊瑚礁位置.prj,92_全球珊瑚礁位置,.prj,145,2022-04-26T18:09:04+08:00,Shapefile PRJ,utf-8,,,EPSG:4326,,,,可能來自 UNEP-WCMC 或類似全球珊瑚礁資料庫,未確認,中,pending_rights_review,待審核,全球範圍資料。可篩選臺灣範圍作為 structured_evidence_candidate，但需確認來源授權與 CRS。不可因與海洋相關就直接列為臺灣浮潛知識來源。,確認來源授權；確認 CRS 是否為 WGS84；篩選臺灣範圍
92_全球珊瑚礁位置\92_全球珊瑚礁位置\SHP\全球珊瑚礁位置.sbn,92_全球珊瑚礁位置,.sbn,100356,2022-04-26T18:09:04+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自 UNEP-WCMC 或類似全球珊瑚礁資料庫,未確認,中,pending_rights_review,待審核,全球範圍資料。可篩選臺灣範圍作為 structured_evidence_candidate，但需確認來源授權與 CRS。不可因與海洋相關就直接列為臺灣浮潛知識來源。,確認來源授權；確認 CRS 是否為 WGS84；篩選臺灣範圍
92_全球珊瑚礁位置\92_全球珊瑚礁位置\SHP\全球珊瑚礁位置.sbx,92_全球珊瑚礁位置,.sbx,3596,2022-04-26T18:09:04+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自 UNEP-WCMC 或類似全球珊瑚礁資料庫,未確認,中,pending_rights_review,待審核,全球範圍資料。可篩選臺灣範圍作為 structured_evidence_candidate，但需確認來源授權與 CRS。不可因與海洋相關就直接列為臺灣浮潛知識來源。,確認來源授權；確認 CRS 是否為 WGS84；篩選臺灣範圍
