case_id,question,intent,risk_level,expected_action,allowed_routes,expected_references,latest_data_required,prohibited_claims,result_type,required_limitations
conservation-001,為什麼不要碰觸珊瑚,conservation,low,fts_public_summary,fts_public_summary,oca_coral_reef_ecosystem,false,安全|合法|適合下水,citable_summary,source_citation_required|not_training_or_safety
conservation-002,如何以低干擾方式觀察海洋生物,conservation,low,fts_public_summary,fts_public_summary,noaa_hands_to_yourself,false,安全|合法|適合下水,citable_summary,source_citation_required|not_training_or_safety
conservation-003,珊瑚礁棲地有什麼一般生態價值,conservation,low,fts_public_summary,fts_public_summary,noaa_shallow_coral_reef_habitat,false,安全|合法|適合下水,citable_summary,source_citation_required|not_training_or_safety
conservation-004,為何不應餵食野生海洋生物,conservation,low,fts_public_summary,fts_public_summary,oca_coral_reef_ecosystem,false,安全|合法|適合下水,citable_summary,source_citation_required|not_training_or_safety
conservation-005,一般垃圾減量如何減少海洋環境影響,conservation,low,fts_public_summary,fts_public_summary,noaa_shallow_coral_reef_habitat,false,安全|合法|適合下水,citable_summary,source_citation_required|not_training_or_safety
conservation-006,觀賞海洋野生動物時應尊重什麼,conservation,low,fts_public_summary,fts_public_summary,noaa_hands_to_yourself,false,安全|合法|適合下水,citable_summary,source_citation_required|not_training_or_safety
conservation-007,不踩踏礁體的保育理由是什麼,conservation,low,fts_public_summary,fts_public_summary,oca_coral_reef_ecosystem,false,安全|合法|適合下水,citable_summary,source_citation_required|not_training_or_safety
conservation-008,淺海珊瑚礁和海洋生物有何關聯,conservation,low,fts_public_summary,fts_public_summary,noaa_shallow_coral_reef_habitat,false,安全|合法|適合下水,citable_summary,source_citation_required|not_training_or_safety
conservation-009,如何避免對野生動物造成不必要干擾,conservation,low,fts_public_summary,fts_public_summary,noaa_hands_to_yourself,false,安全|合法|適合下水,citable_summary,source_citation_required|not_training_or_safety
conservation-010,珊瑚礁保育的一般原則有哪些,conservation,low,fts_public_summary,fts_public_summary,oca_coral_reef_ecosystem,false,安全|合法|適合下水,citable_summary,source_citation_required|not_training_or_safety
conservation-011,一次性用品和海洋垃圾的關係,conservation,low,fts_public_summary,fts_public_summary,noaa_shallow_coral_reef_habitat,false,安全|合法|適合下水,citable_summary,source_citation_required|not_training_or_safety
conservation-012,觀看珊瑚與生物時為何要保持距離,conservation,low,fts_public_summary,fts_public_summary,noaa_hands_to_yourself,false,安全|合法|適合下水,citable_summary,source_citation_required|not_training_or_safety
site-001,石朗潛水區的已核對基本資料是什麼,site_basic,medium,dive_sites_lookup,dive_sites_api,tourism-attraction-376540000a-000365|dive_sites_api,false,入口|深度|難度|推薦|安全,citable_summary,representative_point_only|no_entry_depth_difficulty
site-002,綠島南寮漁港的資料來源與代表點座標,site_basic,medium,dive_sites_lookup,dive_sites_api,tourism-attraction-376540000a-000367|dive_sites_api,false,入口|深度|難度|推薦|安全,citable_summary,representative_point_only|no_entry_depth_difficulty
site-003,柴口浮潛區的官方來源是哪一筆,site_basic,medium,dive_sites_lookup,dive_sites_api,tourism-attraction-376540000a-000478|dive_sites_api,false,入口|深度|難度|推薦|安全,citable_summary,representative_point_only|no_entry_depth_difficulty
site-004,大白沙的縣市與行政區資料,site_basic,medium,dive_sites_lookup,dive_sites_api,tourism-attraction-a15010100h-000067|dive_sites_api,false,入口|深度|難度|推薦|安全,citable_summary,representative_point_only|no_entry_depth_difficulty
site-005,險礁嶼的代表點資料品質為何,site_basic,medium,dive_sites_lookup,dive_sites_api,tourism-attraction-a15010200h-000004|dive_sites_api,false,入口|深度|難度|推薦|安全,citable_summary,representative_point_only|no_entry_depth_difficulty
