source_id,title,organization,source_url,language,country_or_region,topic,source_type,license_or_terms,license_evidence_url,published_at,last_verified_at,content_change_risk,proposed_ingestion_route,may_download,may_embed,may_generate_answer,risk_level,limitations,decision,decision_reason,next_action
oca_marine_biology_intro,海洋生物介紹（海保署）,海洋委員會海洋保育署,https://www.oca.gov.tw/ch/home.jsp?id=291&parentpath=0%2C4%2C290,zh,臺灣,珊瑚礁生態；海洋生物互動,official_environmental_education,OGL 1.0（政府網站資料開放宣告），需註明出處；特別聲明影音除外,https://www.oca.gov.tw/ch/home.jsp?id=60&parentpath=0%2C9,unknown,2026-09-22,中,document_rag_candidate,true,true,true,低,不含醫療、操作、證照或即時安全資訊；僅一般海洋生物保育背景,approved_for_download,海保署官網 OGL 1.0 授權明確；低風險一般保育教育文本；已有同機構來源在系統中驗證過授權依據,人工審閱頁面內容範圍後下載文字；排除影音與第三方素材
oca_marine_protected_area_knowledge,臺灣海洋保護區介紹（海保署）,海洋委員會海洋保育署,https://www.oca.gov.tw/ch/home.jsp?id=349&parentpath=0%2C295%2C348,zh,臺灣,海洋保護區；保育背景,official_knowledge_base,OGL 1.0（海保署網站資料開放宣告），需註明出處,https://www.oca.gov.tw/ch/home.jsp?id=60&parentpath=0%2C9,unknown,2026-09-22,中,document_rag_candidate,true,true,true,低,僅保護區一般知識背景；不可作為任何特定保護區的活動許可或禁限結論,approved_for_download,海保署官網 OGL 1.0 授權明確；低風險保育教育文本,人工審閱知識庫各頁面主題後下載文字；動態公告與分區規則維持 link_only
oca_coral_reef_recovery_guide,珊瑚礁生態復育指引,海洋委員會海洋保育署,https://www.oca.gov.tw/ch/home.jsp?id=176,zh,臺灣,珊瑚復育；保育行動,official_environmental_education,OGL 1.0（海保署網站資料開放宣告），需註明出處,https://www.oca.gov.tw/ch/home.jsp?id=60&parentpath=0%2C9,unknown,2026-09-22,低,document_rag_candidate,true,true,true,低,僅一般復育知識背景；不可作為執行復育的操作指引,approved_for_download,海保署 OGL 明確；珊瑚復育一般知識屬低風險保育主題,人工審閱復育指引頁面文字範圍；排除含操作細節的技術附件
oca_friendly_whale_watching,友善賞鯨指南（海保署）,海洋委員會海洋保育署,https://www.oca.gov.tw/ch/home.jsp?id=258&parentpath=0%2C4%2C257,zh,臺灣,賞鯨守則；海洋生物互動,official_environmental_education,OGL 1.0（海保署網站資料開放宣告），需註明出處,https://www.oca.gov.tw/ch/home.jsp?id=60&parentpath=0%2C9,unknown,2026-09-22,低,document_rag_candidate,true,true,true,低,僅一般賞鯨友善行為指南；不可作為商業營運或安全操作依據,approved_for_download,海保署 OGL 明確；友善賞鯨守則屬低風險環境教育主題,人工審閱內容範圍後下載文字
noaa_corals_tutorial,Corals Tutorial（NOAA Ocean Service）,NOAA National Ocean Service,https://oceanservice.noaa.gov/education/tutorial_corals/,en,美國（國際通用）,珊瑚生物學；珊瑚礁結構；威脅與保育,official_environmental_education,US Gov public domain；NOAA 要求標明來源並不得暗示背書,https://oceanservice.noaa.gov/about/faq.html,unknown,2026-09-22,低,document_rag_candidate,true,true,true,低,不可冒充臺灣在地規範或法規；模型輸出繁體中文但引用保留英文原始來源；排除第三方影像,approved_for_download,NOAA 政府網站文字為公共領域；系統性珊瑚礁教育文本；已有同機構來源在系統中驗證過授權依據,人工審閱各教程子頁面後下載文字；排除第三方媒體與影像
noaa_coral_reef_ecosystems,Coral Reef Ecosystems（NOAA Fisheries）,NOAA Fisheries,https://www.fisheries.noaa.gov/topic/coral-reef-ecosystems,en,美國（國際通用）,珊瑚礁生態系；物種保育,official_environmental_information,US Gov public domain；NOAA 要求標明來源,https://oceanservice.noaa.gov/about/faq.html,unknown,2026-09-22,低,pending_rights_review,false,false,false,低,多子頁面需逐一確認內容範圍與第三方素材；不可冒充臺灣在地資訊,pending_rights_review,NOAA Fisheries 珊瑚主題頁有多個子頁面；需逐一確認各頁是否含操作指導或第三方版權素材,逐頁人工審閱內容範圍後決定是否納入 approved
noaa_crcp_education,Coral Reef Conservation Program Education（NOAA）,NOAA Coral Reef Conservation Program,https://coralreef.noaa.gov/education/welcome.html,en,美國（國際通用）,珊瑚礁教育；保育推廣,official_education_hub,US Gov public domain（部分教材可能含第三方版權）,https://oceanservice.noaa.gov/about/faq.html,unknown,2026-09-22,中,pending_rights_review,false,false,false,低,教育中心頁面含多類教材；部分可能有第三方版權；需逐一確認,pending_rights_review,教育中心頁面需評估各類教材（PDF/活動/影片）的版權狀態,人工審閱教育資源清單；僅納入確認為公共領域的政府文字頁面
ktnp_coral_reef_ecology,墾丁國家公園珊瑚礁生態資源介紹,墾丁國家公園管理處,https://www.ktnp.gov.tw/cp.aspx?n=E0753E7FBED3C09C,zh,臺灣,墾丁珊瑚礁；海洋生態；地方保育背景,official_park_information,國家公園官網資訊；再利用條件需確認,https://www.ktnp.gov.tw/,unknown,2026-09-22,中,pending_rights_review,false,false,false,中,墾丁特定地區資訊；動態管理規定必須維持 link_only；再利用授權未明確確認,pending_rights_review,國家公園官網資訊的再利用授權未明確標示 OGL 或類似條款；需確認後決定,聯繫確認墾管處網頁內容再利用條件；動態公告與管理方案維持 link_only
dbnsa_liuqiu_marine,大鵬灣國家風景區小琉球海洋生態,大鵬灣國家風景區管理處,https://www.dbnsa.gov.tw/,zh,臺灣,小琉球；海洋生態；地方觀光與保育背景,official_scenic_area_information,風景區管理處官網資訊；再利用條件需確認,,unknown,2026-09-22,中,pending_rights_review,false,false,false,中,小琉球地方背景；動態活動規範維持 link_only；再利用授權未確認,pending_rights_review,風景區管理處官網再利用授權未明確標示；需確認後決定,確認風景區管理處網頁資料再利用條件
eastcoast_greenisland_marine,東部海岸國家風景區綠島海洋生態,東部海岸國家風景區管理處,https://www.eastcoast-nsa.gov.tw/,zh,臺灣,綠島；蘭嶼；海洋生態；地方觀光與保育背景,official_scenic_area_information,風景區管理處官網資訊；再利用條件需確認,,unknown,2026-09-22,中,pending_rights_review,false,false,false,中,綠島與蘭嶼地方背景；動態活動規範維持 link_only；再利用授權未確認,pending_rights_review,風景區管理處官網再利用授權未明確標示；需確認後決定,確認風景區管理處網頁資料再利用條件
